id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
589478,Landing Page Submission,Direct Traffic,No,No,0,10.0,1643,3.33,Email Opened,Healthcare Management,,No,No,No,No,No,No,13.0,15.0,Yes
587760,Landing Page Submission,Direct Traffic,No,No,1,2.0,979,2.0,Email Opened,Supply Chain Management,,No,No,No,No,No,No,14.0,17.0,No
643343,Landing Page Submission,Google,No,No,0,5.0,129,5.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
605090,Landing Page Submission,Direct Traffic,No,No,0,2.0,216,2.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,Yes
631753,Landing Page Submission,Organic Search,Yes,No,0,7.0,37,7.0,Page Visited on Website,Marketing Management,,No,No,No,No,No,No,,,Yes
640373,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
643215,API,Google,No,No,1,3.0,1213,1.5,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
596611,Landing Page Submission,Direct Traffic,No,No,0,5.0,369,5.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,No
581561,Landing Page Submission,Google,No,No,1,4.0,1245,4.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
645140,API,Google,No,No,0,4.0,12,1.33,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
592589,Landing Page Submission,Organic Search,Yes,No,1,4.0,1866,4.0,Unsubscribed,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,19.0,Yes
583546,Landing Page Submission,Organic Search,No,No,0,5.0,224,5.0,Email Opened,Services Excellence,,No,No,No,No,No,No,14.0,13.0,Yes
641106,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
615737,API,Direct Traffic,No,No,0,2.0,295,2.0,Email Opened,,,No,No,No,No,No,No,,,No
637169,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,15.0,19.0,No
604906,API,Chat,No,No,1,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
614095,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,IT Projects Management,Working Professional,No,No,No,No,No,No,,,No
648310,Landing Page Submission,Google,No,No,0,3.0,359,3.0,Email Opened,Marketing Management,,No,No,No,No,No,No,14.0,18.0,No
601344,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,,,No
643281,Lead Import,Facebook,No,No,1,0.0,0,0.0,Email Opened,Business Administration,Working Professional,No,No,No,No,No,No,15.0,16.0,No
618917,Landing Page Submission,Direct Traffic,No,No,1,2.0,454,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
631122,Landing Page Submission,Organic Search,No,No,1,7.0,257,7.0,SMS Sent,Healthcare Management,Working Professional,No,No,No,No,No,No,,,Yes
636856,API,Direct Traffic,No,No,0,2.0,196,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
584995,Landing Page Submission,Direct Traffic,No,No,0,6.0,23,3.0,Email Opened,International Business,Unemployed,No,No,No,No,No,No,11.0,16.0,Yes
